timestamp,hardware_id,comparison_mode,backend,backend_version,model,architecture,total_params,active_params,quantization,track_id,track_type,input_tokens,max_tokens,run_number,run_status,ttft_ms,prefill_tps,gen_tps,total_latency_s,output_tokens,hit_rate,peak_memory_gb,cpu_temp_celsius,context_window,prefill_tps_source,actual_runs,cpu_power_w,gpu_power_w,efficiency_tps_per_w,peak_memory_method,schema_version
2026-04-07T08:28:49.224579,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-1k,prefill,1024,10,1,ok,798.14,1804.93,37.61,0.798,10,-1.0,5.6,40.2,262144,native,5,-1.0,31.04,1.2117,rss_delta,3
2026-04-07T08:28:55.348667,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-1k,prefill,1024,10,2,ok,849.82,1767.3,37.69,0.85,10,-1.0,5.6,38.8,262144,native,5,-1.0,9.4,4.0096,rss_delta,3
2026-04-07T08:29:01.483965,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-1k,prefill,1024,10,3,ok,847.3,1819.61,37.64,0.847,10,-1.0,5.6,38.8,262144,native,5,-1.0,9.37,4.0171,rss_delta,3
2026-04-07T08:29:07.572713,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-1k,prefill,1024,10,4,ok,806.11,1839.5,37.81,0.806,10,-1.0,5.6,38.8,262144,native,5,-1.0,9.36,4.0395,rss_delta,3
2026-04-07T08:29:13.666828,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-1k,prefill,1024,10,5,ok,819.84,1813.45,37.44,0.82,10,-1.0,5.6,39.0,262144,native,5,-1.0,9.28,4.0345,rss_delta,3
2026-04-07T08:31:01.874199,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,1,ok,23896.43,1744.99,31.5,23.896,10,-1.0,5.6,55.8,262144,native,5,-1.0,47.76,0.6595,rss_delta,3
2026-04-07T08:31:30.993546,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,2,ok,23840.99,1747.36,31.51,23.841,10,-1.0,5.6,51.6,262144,native,5,-1.0,10.23,3.0802,rss_delta,3
2026-04-07T08:32:00.058676,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,3,ok,23778.19,1750.64,31.31,23.778,10,-1.0,5.6,54.0,262144,native,5,-1.0,10.44,2.999,rss_delta,3
2026-04-07T08:32:29.149512,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,4,ok,23804.8,1748.13,31.49,23.805,10,-1.0,5.6,55.9,262144,native,5,-1.0,10.73,2.9348,rss_delta,3
2026-04-07T08:32:58.323713,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-64k,prefill,65536,10,5,ok,23891.22,1744.18,31.4,23.891,10,-1.0,5.6,57.0,262144,native,5,-1.0,10.95,2.8676,rss_delta,3
2026-04-07T08:34:10.575160,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,1,ok,5859.89,1896.56,35.75,5.86,10,-1.0,5.6,57.2,262144,native,5,-1.0,47.43,0.7537,rss_delta,3
2026-04-07T08:34:21.736780,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,2,ok,5877.01,1888.03,35.23,5.877,10,-1.0,5.6,50.8,262144,native,5,-1.0,10.18,3.4607,rss_delta,3
2026-04-07T08:34:32.874000,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,3,ok,5860.36,1881.01,35.03,5.86,10,-1.0,5.6,51.0,262144,native,5,-1.0,10.26,3.4142,rss_delta,3
2026-04-07T08:34:44.058263,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,4,ok,5900.09,1889.04,35.75,5.9,10,-1.0,5.6,51.4,262144,native,5,-1.0,10.2,3.5049,rss_delta,3
2026-04-07T08:34:55.263614,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-16k,prefill,16384,10,5,ok,5925.66,1870.9,35.26,5.926,10,-1.0,5.6,51.8,262144,native,5,-1.0,10.35,3.4068,rss_delta,3
2026-04-07T08:35:59.514692,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,1,ok,1838.47,1845.14,37.26,1.838,10,-1.0,5.6,51.2,262144,native,5,-1.0,43.38,0.8589,rss_delta,3
2026-04-07T08:36:06.611870,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,2,ok,1818.58,1879.94,37.34,1.819,10,-1.0,5.6,46.2,262144,native,5,-1.0,9.94,3.7565,rss_delta,3
2026-04-07T08:36:13.726237,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,3,ok,1836.67,1872.86,37.02,1.837,10,-1.0,5.6,46.5,262144,native,5,-1.0,9.96,3.7169,rss_delta,3
2026-04-07T08:36:20.838284,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,4,ok,1827.51,1868.54,37.04,1.828,10,-1.0,5.6,46.6,262144,native,5,-1.0,9.95,3.7226,rss_delta,3
2026-04-07T08:36:27.958878,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-4k,prefill,4096,10,5,ok,1844.44,1844.57,37.03,1.844,10,-1.0,5.6,46.7,262144,native,5,-1.0,9.94,3.7254,rss_delta,3
2026-04-07T08:39:10.186765,dgx-spark,A,ollama,0.20.0,qwen3.5-9b,dense,9B,9B,Q4_K_M,prefill-128k,prefill,131072,10,1,ok,50906.08,1615.14,26.62,50.906,10,-1.0,5.6,65.7,262144,native,5,-1.0,48.88,0.5446,rss_delta,3
